# go_source_id	status	crystal_refs	notes
terminal_screen.go::func::NewTerminalScreen	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::AltScreen	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::BackgroundColor	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::Bounds	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::BracketedPaste	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::CellAt	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::CursorColor	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::CursorPosition	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::CursorStyle	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::CursorVisible	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::DisableBracketedPaste	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::Display	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::EnableBracketedPaste	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::EnterAltScreen	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::ExitAltScreen	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::Flush	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::ForegroundColor	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::HideCursor	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::InsertAbove	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::KeyboardEnhancements	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::MouseMode	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::ProgressBar	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::Render	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::Reset	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::Resize	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::Restore	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetBackgroundColor	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetCell	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetColorProfile	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetCursorColor	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetCursorPosition	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetCursorStyle	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetForegroundColor	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetKeyboardEnhancements	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetMouseMode	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetProgressBar	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetWidthMethod	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::SetWindowTitle	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::ShowCursor	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::WidthMethod	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::WindowTitle	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::Write	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::method::WriteString	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
terminal_screen.go::type::TerminalScreen	mapped	src/ultraviolet/terminal_screen.cr	tracked for drift detection
uv.go::func::EncodeBackgroundColor	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::func::EncodeBracketedPaste	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
