# go_id	kind	status	crystal_refs	notes
border_test.go::test::TestBorderConstructors	test	ported	spec/border_spec.cr		auto-generated
border_test.go::test::TestBorderDrawHiddenStyleLink	test	ported	spec/border_spec.cr		auto-generated
border_test.go::test::TestBorderDrawNormal	test	ported	spec/border_spec.cr		auto-generated
border_test.go::test::TestBorderDrawSmallAreas	test	ported	spec/border_spec.cr		auto-generated
border_test.go::test::TestBorderStyleAndLink	test	ported	spec/border_spec.cr		auto-generated
border.go::func::ASCIIBorder	func	ported	src/ultraviolet/border.cr		auto-generated
border.go::func::BlockBorder	func	ported	src/ultraviolet/border.cr		auto-generated
border.go::func::DoubleBorder	func	ported	src/ultraviolet/border.cr		auto-generated
border.go::func::HiddenBorder	func	ported	src/ultraviolet/border.cr		auto-generated
border.go::func::InnerHalfBlockBorder	func	ported	src/ultraviolet/border.cr		auto-generated
border.go::func::MarkdownBorder	func	ported	src/ultraviolet/border.cr		auto-generated
border.go::func::NormalBorder	func	ported	src/ultraviolet/border.cr		auto-generated
border.go::func::OuterHalfBlockBorder	func	ported	src/ultraviolet/border.cr		auto-generated
border.go::func::RoundedBorder	func	ported	src/ultraviolet/border.cr		auto-generated
border.go::func::ThickBorder	func	ported	src/ultraviolet/border.cr		auto-generated
border.go::method::Border.Draw	method	ported	src/ultraviolet/border.cr		auto-generated
border.go::method::Border.Link	method	ported	src/ultraviolet/border.cr		auto-generated
border.go::method::Border.Style	method	ported	src/ultraviolet/border.cr		auto-generated
border.go::struct::Border	struct	ported	src/ultraviolet/border.cr		auto-generated
border.go::struct::Side	struct	ported	src/ultraviolet/border.cr		auto-generated
buffer_test.go::test::TestBufferCellOperations	test	ported	spec/buffer_spec.cr		auto-generated
buffer_test.go::test::TestBufferLineOperations	test	ported	spec/buffer_spec.cr		auto-generated
buffer_test.go::test::TestBufferMethods	test	ported	spec/buffer_spec.cr		auto-generated
buffer_test.go::test::TestBufferUniseg	test	ported	spec/buffer_spec.cr		auto-generated
buffer_test.go::test::TestLineRenderLine	test	ported	spec/buffer_spec.cr		auto-generated
buffer_test.go::test::TestLineSet	test	ported	spec/buffer_spec.cr		auto-generated
buffer_test.go::test::TestLineString	test	ported	spec/buffer_spec.cr		auto-generated
buffer_test.go::test::TestScreenBuffer	test	ported	spec/buffer_spec.cr		auto-generated
buffer.go::func::NewBuffer	func	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::func::NewLine	func	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::func::NewRenderBuffer	func	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::func::NewScreenBuffer	func	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::func::Pos	func	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::func::Rect	func	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::func::TrimSpace	func	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.Bounds	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.CellAt	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.Clear	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.ClearArea	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.Clone	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.CloneArea	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.DeleteCell	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.DeleteCellArea	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.DeleteLine	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.DeleteLineArea	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.Draw	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.Fill	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.FillArea	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.Height	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.InsertCell	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.InsertCellArea	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.InsertLine	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.InsertLineArea	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.Line	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.Render	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.Resize	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.SetCell	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.String	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Buffer.Width	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Line.At	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Line.Render	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Line.Set	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Line.String	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Lines.Height	method	ported	src/ultraviolet/buffer.cr		auto-generated
buffer.go::method::Lines.Render	method	ported	src/ultraviolet/buffer.cr		auto-generated
